u,v,common_neighbors,jaccard,adamic_adar,resource_allocation,preferential_attachment,label
70718,78179,2,0.2,0.7213475204444817,0.125,35,1
70718,45207,4,0.23529411764705882,1.9857908682877534,0.5322802197802198,80,1
70718,33751,4,0.23529411764705882,1.9857908682877534,0.5322802197802198,80,1
70718,62295,3,0.2,1.4426950408889634,0.375,65,1
70718,120588,3,0.5,1.111218765695762,0.20192307692307693,20,1
78179,104401,2,0.25,0.7213475204444817,0.125,21,1
78179,45207,3,0.15,1.89224792140869,0.5958333333333333,112,1
78179,101388,1,0.07142857142857142,0.26269731101386307,0.022222222222222223,56,1
78179,33751,4,0.21052631578947367,2.8024871480355276,0.9291666666666667,112,1
78179,22105,1,0.0196078431372549,0.48089834696298783,0.125,315,1
78179,103805,1,0.1111111111111111,0.36067376022224085,0.0625,21,1
24699,40495,9,0.05027932960893855,1.895643077892949,0.08213246165837935,4480,1
24699,96726,7,0.05223880597014925,1.4891624793902762,0.06626522181822989,3164,1
24699,542,4,0.07547169811320754,1.487881788257897,0.3002908340369641,812,1
24699,31756,6,0.027777777777777776,1.8872992393860248,0.32265061406937834,5432,1
24699,121966,5,0.16666666666666666,1.28317184463687,0.12178140486964016,196,1
24699,19066,10,0.060240963855421686,2.090426051644184,0.08781737957733982,4144,1
24699,120454,4,0.06451612903225806,1.1044110100093132,0.12621748437603397,1064,1
24699,21228,10,0.09433962264150944,2.0894381898565566,0.0876571231670834,2464,1
24699,65980,1,0.03333333333333333,0.2506903984389969,0.018518518518518517,84,1
24699,64754,5,0.16129032258064516,1.28317184463687,0.12178140486964016,224,1
24699,115497,4,0.10526315789473684,1.3247561362480973,0.2466219438004571,392,1
24699,31389,2,0.020202020202020204,0.4868677357152868,0.033011272141706925,2044,1
24699,102277,17,0.09090909090909091,4.404054368285735,0.48405242765062323,4928,1
24699,44237,2,0.025,1.1433144983353465,0.3470319634703196,1512,1
24699,23211,1,0.005780346820809248,0.23868315209103041,0.015151515151515152,4088,1
24699,93385,5,0.09803921568627451,1.7391837533781653,0.33877274686098213,784,1
24699,68603,9,0.05142857142857143,2.6453100736586217,0.39848416885389226,4368,1
24699,77754,12,0.0380952380952381,2.5137944817373037,0.10514837274551563,8372,1
24699,79712,11,0.08029197080291971,2.3040191730970827,0.0974441829541432,3360,1
24699,128775,1,0.010416666666666666,0.23307527170850925,0.0136986301369863,1932,1
24699,26141,9,0.07627118644067797,1.8374627804609314,0.0695855693539977,2772,1
24699,67580,10,0.08928571428571429,2.095754649148408,0.08888921841513611,2632,1
24699,45384,11,0.14666666666666667,2.2876792440441385,0.09358664202763675,1624,1
24699,80727,13,0.16049382716049382,4.147139881273907,0.7068241473064442,1848,1
24699,19417,4,0.13793103448275862,1.1044110100093132,0.12621748437603397,140,1
24699,88012,11,0.0650887573964497,2.34099733883774,0.10550052654844673,4256,1
24699,66502,10,0.08928571428571429,2.081258924230776,0.08628966089301221,2632,1
24699,40508,7,0.18421052631578946,2.221986614478218,0.3652977769357079,476,1
40495,44785,30,0.11538461538461539,6.536374203750003,0.32184139530197464,20800,1
40495,32202,34,0.16831683168316833,7.36677644278254,0.35552827082618405,12160,1
40495,4239,31,0.10801393728222997,6.784003067949423,0.33805710056623867,25280,1
40495,30972,36,0.16744186046511628,8.742329191205286,0.6622707680555975,14560,1
40495,1436,12,0.06976744186046512,2.948839926447828,0.240899600784384,3840,1
40495,10341,17,0.06589147286821706,3.887095833876534,0.2349721097596884,18400,1
40495,120156,8,0.049079754601226995,1.9319569976901736,0.13974540680593905,1760,1
40495,11705,6,0.03592814371257485,1.9463858075788907,0.3068111703571521,2080,1
40495,46415,34,0.1588785046728972,7.376078596447214,0.35719493749285075,14080,1
40495,93579,3,0.015625,0.8221092277200173,0.07996794871794871,5600,1
40495,131451,11,0.04932735426008968,2.6276363798332074,0.20138620661925546,11840,1
40495,37479,32,0.0975609756097561,7.070402789037845,0.3697369012424006,32000,1
40495,101024,28,0.16470588235294117,6.5609772733756495,0.44527450045661265,6080,1
40495,85176,10,0.026525198938992044,2.22205189861119,0.11729889147793189,36320,1
40495,45818,24,0.1348314606741573,5.586804228637145,0.35203164535302506,6720,1
40495,70107,8,0.04790419161676647,2.927160911581382,0.5522058720849043,2400,1
40495,85844,6,0.037267080745341616,2.273846634135376,0.45631654381654374,1120,1
40495,64253,12,0.06741573033707865,3.320504418343295,0.34741823660382076,4800,1
40495,120029,6,0.03529411764705882,2.427071216282886,0.5366736866736866,2560,1
40495,21228,23,0.10222222222222223,5.149549080060367,0.28814300560370176,14080,1
40495,67299,31,0.11272727272727273,6.8053713062501116,0.3404888180551896,23360,1
40495,113004,7,0.030837004405286344,2.7391526599203755,0.5839342023762598,11840,1
40495,79712,32,0.12903225806451613,7.612274047838782,0.5488924619628217,19200,1
40495,36820,17,0.10119047619047619,3.827133579614613,0.2143764371585345,4000,1
40495,2372,7,0.04142011834319527,1.974687326825544,0.21152107292827377,2560,1
40495,52817,28,0.13526570048309178,6.680840832348058,0.4574467338563492,12000,1
40495,31076,11,0.05759162303664921,2.764596517888412,0.22716289176304566,6720,1
40495,108248,45,0.20179372197309417,11.0621979398239,0.8561086408613167,17280,1
40495,117255,12,0.04597701149425287,3.1616269834126944,0.3067512022444313,18080,1
40495,120125,10,0.059880239520958084,2.6518526453965143,0.2518597117232509,2720,1
40495,90625,5,0.03067484662576687,1.9303257947269763,0.39231950844854063,1280,1
40495,107581,20,0.09345794392523364,5.433758571842092,0.5683635230113712,11840,1
40495,97391,4,0.024539877300613498,1.4948961949383686,0.29112903225806447,1120,1
40495,106639,2,0.012422360248447204,0.5280951239248113,0.046634615384615385,480,1
40495,80276,7,0.027777777777777776,2.041765407183825,0.2486527430694928,15840,1
40495,74570,31,0.1111111111111111,6.71109956948194,0.3196708438337001,24000,1
40495,88948,15,0.07142857142857142,5.392849054933938,0.9850092168269604,10400,1
40495,1324,32,0.1350210970464135,6.979575958582964,0.3435644625699619,17440,1
40495,115543,22,0.09361702127659574,5.366034927839535,0.4080153337663025,15520,1
